Item,Condition,Semantic_Score,Info_Score,Mean_Visual_Error
134,b,6.41666666666667,6.08333333333333,6.83333333333333
32,c,1.56666666666667,1.66666666666667,5.96666666666667
112,b,4.625,4.58333333333333,5.91666666666667
49,c,2.0,2.27272727272727,5.77272727272727
15,c,1.46666666666667,1.43333333333333,6.0
139,a,6.40909090909091,3.31818181818182,6.68181818181818
144,a,6.72,2.68,6.96
101,c,1.40909090909091,1.72727272727273,5.72727272727273
50,c,1.0,1.30434782608696,5.60869565217391
98,a,6.45454545454545,4.45454545454545,6.86363636363636
48,c,1.13793103448276,1.51724137931034,6.37931034482759
10,b,6.34782608695652,6.78260869565217,6.52173913043478
33,a,6.30434782608696,3.65217391304348,6.78260869565217
62,b,3.61904761904762,4.47619047619048,6.42857142857143
82,b,6.24,6.4,6.72
37,a,6.78260869565217,3.47826086956522,6.82608695652174
106,a,6.86363636363636,4.86363636363636,6.95454545454545
51,c,1.56666666666667,1.86666666666667,6.0
28,c,1.61904761904762,1.57142857142857,6.0
103,c,1.04347826086957,1.30434782608696,6.1304347826087
107,a,6.86363636363636,3.04545454545455,7.0
141,c,1.0,1.24,3.72
81,c,1.04545454545455,1.18181818181818,6.54545454545455
144,c,1.41666666666667,1.33333333333333,6.16666666666667
12,b,6.18181818181818,4.0,6.86363636363636
46,a,6.68181818181818,3.27272727272727,6.90909090909091
50,b,6.73333333333333,6.7,6.7
2,b,3.33333333333333,4.47619047619048,6.38095238095238
118,b,4.54545454545455,5.36363636363636,6.72727272727273
77,c,1.26086956521739,1.52173913043478,5.73913043478261
37,c,1.21739130434783,1.26086956521739,6.52173913043478
1,c,2.09090909090909,2.0,6.45454545454545
39,c,3.09090909090909,2.81818181818182,6.59090909090909
85,a,6.82608695652174,3.0,6.43478260869565
66,a,6.16666666666667,3.0,6.86666666666667
23,b,4.65217391304348,5.21739130434783,6.69565217391304
14,a,6.86206896551724,3.03448275862069,6.96551724137931
137,b,5.12,5.4,6.24
